INSERT INTO users (username, password, first_name, last_name, age, admin, nickname, phone_number, email) VALUES ('uKpKfLzFEQ', 'EUVFuDfRZG', 'ibRXdsdnrm', 'nobZoUauVQ', 36, 0, 'qLTMt', '9153190075', 'xwidXzSbfG@example.com');
INSERT INTO users (username, password, first_name, last_name, age, admin, nickname, phone_number, email) VALUES ('FtFzchGhPB', 'iKEij5YwcC', 'EbpfwOkqsM', 'WynraTDIGP', 63, 1, 'XhgzF', '5513469079', 'hvYeVRGQhr@example.com');
INSERT INTO users (username, password, first_name, last_name, age, admin, nickname, phone_number, email) VALUES ('WeoRAohHwH', 'QyLNf0Zzu5', 'XIeelSUWGS', 'ufOKpRRDIy', 64, 0, 'cxtiv', '6594824546', 'YSCNjtYsyj@example.com');
INSERT INTO users (username, password, first_name, last_name, age, admin, nickname, phone_number, email) VALUES ('uoWaODdpbE', 'FL9IaxYdnQ', 'BvuLqSaWsp', 'JhCBONYygr', 36, 0, 'yEbHC', '2326719532', 'DSrVGzdkPt@example.com');
INSERT INTO users (username, password, first_name, last_name, age, admin, nickname, phone_number, email) VALUES ('XQdqxhMzZZ', 'bnAMzXP9m7', 'KzOsbkWXBx', 'lkeDQjrqdb', 51, 0, 'BEHaH', '9662710697', 'gwHkfrVlEd@example.com');
INSERT INTO users (username, password, first_name, last_name, age, admin, nickname, phone_number, email) VALUES ('TuqmKjWwcc', '36VaWsVYKi', 'bZqOUGCMyQ', 'sABqoNjrUc', 40, 0, 'EsusA', '6585341734', 'lpAOWuFUXm@example.com');
INSERT INTO users (username, password, first_name, last_name, age, admin, nickname, phone_number, email) VALUES ('pqNplSgBeI', '5krS0uPpFj', 'TjxILSEyoG', 'DCHguxGtBc', 43, 1, 'wqMtC', '5271953086', 'JEAxcXNSmQ@example.com');
INSERT INTO users (username, password, first_name, last_name, age, admin, nickname, phone_number, email) VALUES ('zUErPrZCiG', 'tWNgOcChcv', 'ddcrxDGPJi', 'BVdRrymojG', 46, 0, 'zIxCo', '0706041981', 'WeOZaYyWoy@example.com');
INSERT INTO users (username, password, first_name, last_name, age, admin, nickname, phone_number, email) VALUES ('ULZLlBfubt', '0PMaI22Rj2', 'BvOqTriaQD', 'jAOJCNUqqd', 28, 0, 'XBTIs', '3615169300', 'HYQAzpDpHJ@example.com');
INSERT INTO users (username, password, first_name, last_name, age, admin, nickname, phone_number, email) VALUES ('WQJECowpbf', 'CQZ2qcmF1u', 'LktYydkTBA', 'FSCsjFxhpB', 48, 1, 'IXlTH', '8995759790', 'wwalHKQELw@example.com');
INSERT INTO users (username, password, first_name, last_name, age, admin, nickname, phone_number, email) VALUES ('UNmMFqxuIA', '01k58rD7j1', 'qEWwxMYGbv', 'FunUqrTApa', 36, 1, 'Uycxq', '8827810981', 'XTewabDQoR@example.com');
INSERT INTO users (username, password, first_name, last_name, age, admin, nickname, phone_number, email) VALUES ('FJsUZRxNJc', 'S9Wh2i6Twf', 'rZCGVYTJME', 'TLhkquhJxR', 41, 1, 'jqmpq', '4852422883', 'JMcCKsiszR@example.com');
INSERT INTO users (username, password, first_name, last_name, age, admin, nickname, phone_number, email) VALUES ('NLBMLQWNyf', '4VhPdPg19h', 'ygXzeqDpQq', 'uzgXnJYZIk', 56, 1, 'CanVF', '9447246557', 'AmBUmzPJqR@example.com');
INSERT INTO users (username, password, first_name, last_name, age, admin, nickname, phone_number, email) VALUES ('vGpFjTkUmh', 'fLuKlQ0Eih', 'FlPrfNipdZ', 'sncMlaAbZF', 44, 1, 'DDHwM', '7172489071', 'fAAOHeFNAw@example.com');
INSERT INTO users (username, password, first_name, last_name, age, admin, nickname, phone_number, email) VALUES ('ItWXohoetE', 'NBls0nJ12X', 'dEoPqSOvVk', 'TPwWFnyiWD', 65, 1, 'BvQSU', '2128676325', 'MrgQMrzFgw@example.com');
INSERT INTO users (username, password, first_name, last_name, age, admin, nickname, phone_number, email) VALUES ('VBsMpjHFCI', 'TQYTfU3gIN', 'INNEGvqKep', 'pRYbmULnXm', 37, 1, 'ptjng', '5293287090', 'XszaTSBnwC@example.com');
INSERT INTO users (username, password, first_name, last_name, age, admin, nickname, phone_number, email) VALUES ('uVdIIdSYkg', '8tkhTjP7b1', 'xwLNzGEZMi', 'nEGUPFcBFU', 42, 1, 'sfhVL', '2082243912', 'RvVuLEbTnf@example.com');
INSERT INTO users (username, password, first_name, last_name, age, admin, nickname, phone_number, email) VALUES ('yCPcjmQfFn', 'TmcVaDIy33', 'yxYdycgJcL', 'rhfskUdywf', 57, 1, 'UsoYP', '1555935404', 'XtXWaTHajy@example.com');
INSERT INTO users (username, password, first_name, last_name, age, admin, nickname, phone_number, email) VALUES ('cmAyvvUXSd', 'zTYbIbjLXI', 'KYoSQornay', 'feSFHhKSWr', 44, 1, 'qyFuX', '9664343994', 'ajTCcMCDHs@example.com');
INSERT INTO users (username, password, first_name, last_name, age, admin, nickname, phone_number, email) VALUES ('iyVwaojXUJ', 'C5So8pkPNw', 'grQRmVOeka', 'UyCsramdEo', 54, 0, 'ZDJlF', '3220386227', 'LxHpbzapnx@example.com');
INSERT INTO users (username, password, first_name, last_name, age, admin, nickname, phone_number, email) VALUES ('irjXJHJKHJ', 'Q6Mj5qIvET', 'nZVDkqTGSB', 'PfBBcQNgfT', 55, 1, 'BMHHY', '1528167786', 'lDtywnigWF@example.com');
